tour,calendar_year,date,event_name,event_id,sg_categories,traditional_stats
jpn,2022,2022-11-06,Mynavi ABC Championship,9787,no,no
afr,2022,2022-10-30,Vodacom Origins of Golf Final,9783,no,no
pga,2022,2022-10-30,Butterfield Bermuda Championship,528,no,basic
liv,2022,2022-10-30,Miami (Team Final—Stroke Play),8,no,basic
euro,2022,2022-10-30,Portugal Masters,2022156,no,no
jpn,2022,2022-10-30,Heiwa PGM Championship,9782,no,no
anz,2022,2022-10-23,WA Open Golf Championship,9778,no,no
pga,2022,2022-10-23,THE CJ CUP in South Carolina,521,yes,yes
euro,2022,2022-10-23,Mallorca Golf Open,2022140,no,no
champ,2022,2022-10-23,Dominion Energy Charity Classic,623,no,no
jpn,2022,2022-10-23,Japan Open Golf Championship,9776,no,no
pgti,2022,2022-10-22,Pune Open Golf Championship,9777,no,no
ngl,2022,2022-10-21,Sydbank Road to Europe Final - by Møn Golfresort,9774,no,no
ept,2022,2022-10-21,The Matchroom Tour Championship ,9773,no,no
afr,2022,2022-10-21,SunBet Challenge hosted by Sun Sibaya,9779,no,no
euro,2022,2022-10-16,Estrella Damm N.A. Andalucía  Masters,2022139,no,no
anz,2022,2022-10-16,CKB WA PGA Championship presented by TX Civil & Logistics,9770,no,no
pgti,2022,2022-10-16,Jeev Milkha Singh Invitational presented by TAKE,9768,no,no
atgt,2022,2022-10-16,Singha Bangkok Open,9769,no,no
pga,2022,2022-10-16,ZOZO CHAMPIONSHIP,527,no,basic
cha,2022,2022-10-16,English Trophy presented by Rocket Yard Sports Marketing,2022324,no,no
champ,2022,2022-10-16,SAS Championship,609,no,no
liv,2022,2022-10-16,Jeddah,7,no,basic
ngl,2022,2022-10-14,MoreGolf Mastercard Tour Final at PGA Sweden National,9765,no,no
atvt,2022,2022-10-14,Delight Works JGTO FINAL ,9767,no,no
pga,2022,2022-10-09,Shriners Children's Open,47,yes,yes
cha,2022,2022-10-09,British Challenge presented by Modest! Golf Management ,2022341,no,no
jpn,2022,2022-10-09,For The Players By The Players,9757,no,no
champ,2022,2022-10-09,Constellation FURYK & FRIENDS,44,no,no
kor,2022,2022-10-09,Genesis Championship,9760,no,no
liv,2022,2022-10-09,Bangkok,6,no,basic
euro,2022,2022-10-09,acciona Open de España presented by Madrid,2022138,no,no
afr,2022,2022-10-09,Fortress Invitational,9761,no,no
alp,2022,2022-10-08,Emilia Romagna Alps Tour Grand Final,9754,no,no
ngl,2022,2022-10-07,Race to HimmerLand by FREJA,9755,no,no
