am,country,course,dg_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name_x,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,driving_acc,driving_dist,player_name_y,sg_app,sg_arg,sg_ott,sg_putt,sg_total,event_id,expected_score,standard_deviation,cumulative_score,over_under_par,winning_probability
0,USA,The Los Angeles Country Club (North Course),26653,28273477,7000,0,91156-107345,7800,USA,57362,"Eckroat, Austin",1:10 PM,7:40 AM,,,1,0,golf.p.23295,20,0.05,1.649,"Eckroat, Austin",0.123,-0.112,0.351,0.003,0.365,26,70.98617128796505,1.0006810439501572,290.69637380752033,10.696373807520331,0.019229518309686333
0,USA,The Los Angeles Country Club (North Course),14577,28273463,7200,0,91156-78050,8900,USA,34099,"English, Harris",12:59 PM,7:29 AM,,,1,0,golf.p.11060,28,0.035,-2.574,"English, Harris",0.068,0.244,-0.237,0.351,0.426,26,71.00700065960892,0.9733357011276462,290.3510547907139,10.351054790713874,0.03808924598460117
0,USA,The Los Angeles Country Club (North Course),11676,28273428,8800,0,91156-78078,10300,USA,29725,"Finau, Tony",1:43 PM,8:13 AM,,,10,0,golf.p.8805,42,0.019,8.089,"Finau, Tony",0.84,0.253,0.48,0.119,1.692,26,70.93861741255972,1.0068112669449214,278.88028797002454,-1.1197120299754602,1.0
0,ENG,The Los Angeles Country Club (North Course),9396,28273523,6400,0,91156-78081,7400,ENG,27896,"Fisher, Ross",12:15 PM,6:45 AM,,,10,0,golf.p.7180,20,-0.029,8.879,"Fisher, Ross",0.129,-0.46,0.201,-0.737,-0.866,26,70.97046881028663,1.0051391832855312,301.1520395946817,21.152039594681696,0.0
0,ENG,The Los Angeles Country Club (North Course),17646,28273425,9100,0,91156-78083,10500,ENG,40098,"Fitzpatrick, Matthew",1:32 PM,8:02 AM,,,1,0,golf.p.14004,43,0.003,8.346,"Fitzpatrick, Matthew",0.363,0.205,0.491,0.438,1.497,26,70.97038873866384,0.9870426069774687,280.8296836995577,0.8296836995576768,0.9999999999999986
0,ENG,The Los Angeles Country Club (North Course),12294,28273437,7900,1,91156-78084,9600,ENG,30911,"Fleetwood, Tommy",7:40 AM,1:10 PM,,,1,0,golf.p.9934,36,0.017,3.968,"Fleetwood, Tommy",0.427,0.258,0.331,0.355,1.372,26,70.92354495361555,1.0296237136656723,281.51013475147835,1.510134751478347,0.99999999999758
0,USA,The Los Angeles Country Club (North Course),12965,28273445,7500,1,91156-78093,9500,USA,32102,"Fowler, Rickie",8:02 AM,1:32 PM,,,10,0,golf.p.9633,32,0.013,6.783,"Fowler, Rickie",0.648,0.265,0.274,0.231,1.419,26,70.92525376528202,1.0217471512753162,281.1207978338015,1.1207978338014755,0.9999999999998967
0,NZL,The Los Angeles Country Club (North Course),11889,28273465,7100,1,91156-78095,8900,NZL,29936,"Fox, Ryan",8:35 AM,2:05 PM,,,1,0,golf.p.8916,23,-0.089,12.626,"Fox, Ryan",0.301,0.112,0.182,0.153,0.748,26,70.95257847983757,1.0433566496055415,287.11521451780817,7.11521451780817,0.9260628069559244
0,ESP,The Los Angeles Country Club (North Course),5689,28273474,7000,1,91156-78116,8400,ESP,21209,"Garcia, Sergio",7:51 AM,1:21 PM,,,10,0,golf.p.1040,20,0.01,5.4,"Garcia, Sergio",0.123,-0.061,0.442,-0.116,0.389,26,70.93720876915363,1.0021651537467198,290.0777619694741,10.077761969474125,0.07358674503051221
0,USA,The Los Angeles Country Club (North Course),22914,28273531,6300,0,91156-79283,7100,USA,51414,"Grant, Brent",12:15 PM,6:45 AM,,,1,0,golf.p.21364,20,0.014,13.108,"Grant, Brent",-0.262,-0.333,0.532,-0.554,-0.617,26,70.91603782171859,1.0134550053786868,298.53505763647865,18.535057636478655,0.0
